CRN,Course Code ,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity ,Enrolled,ReservationMaj./Cap./Enrl.,Major Restriction,Prerequisites,Class Rest.
30366,MAK 105,Makine Tasarımına Giriş,,Adem  Candaş,MKBMKBMKBMKB,Salı Salı Çarşamba Çarşamba ,0930/1329 1430/1629 0930/1329 1430/1629 ,R358 R358 R358 R358 ,70,0,Yok/None,IML, MAK,Yok/None,Yok/None
30367,MAK 107,Makina Tasarımına Giriş,,--,MKBMKB,Salı Çarşamba ,0930/1329 0930/1229 ,--- --- ,0,0,Yok/None,IML, MAK,Yok/None,Yok/None
30368,MAK 213,Malzeme Bilimi,,Levent  Trabzon,MKBMKB,Pazartesi Perşembe ,0830/1229 1300/1829 ,A363 A363 ,100,88,Yok/None,IML, MAK,Yok/None,Yok/None
30369,MAK 219,Mukavemet I,,Adil  Yücel,MKBMKB,Salı Çarşamba ,0830/1229 1300/1829 ,D318 D318 ,120,45,Yok/None,MAK, MKN, MAK 118 MIN DDveya MAK 118E MIN DDveya STA 201 MIN DDveya STA 201E MIN DDveya STA 202 MIN DDveya STA 202E MIN DDveya STA 204 MIN DDveya STA 204E MIN DD,Yok/None
30370,MAK 220,Mukavemet II,,Adil  Yücel,MKBMKB,Salı Çarşamba ,1300/1829 0830/1229 ,D318 D318 ,120,115,Yok/None,MAK, MKN, MAK 219 MIN DDveya MAK 219E MIN DDveya MUK 209 MIN DDveya MUK 209E MIN DD,Yok/None
30371,MAK 224E,Engineering Materials,,Levent  Trabzon,MKBMKB,Cuma Cuma ,1030/1229 1430/1729 ,A363 A363 ,100,36,Yok/None,IML, MAK, (MAK 213 MIN DDveya MAK 213E MIN DDveya MAL 201 MIN DDveya MAL 201E MIN DD)ve (MAK 200 MIN DDveya MAK 200E MIN DD),Yok/None
30387,MAK 228,Akışkanlar Mekaniği I,,Hasan  Güneş,MKBMKB,Salı Perşembe ,0930/1229 0930/1329 ,A201 A201 ,80,75,Yok/None,MAK, MAKM, (MAK 210 MIN DDveya MAK 210E MIN DDveya MAT 201 MIN DDveya MAT 201E MIN DDveya MAT 210 MIN DDveya MAT 210E MIN DD)ve (TER 205 MIN DDveya TER 205E MIN DDveya MAK 212 MIN DDveya MAK 212E MIN DDveya MAK 215 MIN DDveya MAK 215E MIN DD),Yok/None
30388,MAK 229,Akışkanlar Mekaniği II,,Hasan  Güneş,MKBMKB,Salı Perşembe ,1330/1629 1330/1729 ,A201 A201 ,80,57,Yok/None,MAK, MAK 228 MIN DDveya MAK 228E MIN DDveya AKM 208 MIN DDveya AKM 208E MIN DD,Yok/None
30389,MAK 313,Isı Geçişi,,Ali İhsan  Koca,MKBMKB,Pazartesi Salı ,0830/1329 0830/1259 ,D318 A363 ,100,69,Yok/None,MAK, MAKM, (MAT 201E MIN DDveya MAT 201 MIN DDveya MAK 210 MIN DDveya MAK 210E MIN DDveya MAT 210 MIN DDveya MAT 210E MIN DD)ve (TER 206 MIN DDveya TER 206E MIN DDveya MAK 212 MIN DDveya MAK 212E MIN DDveya MAK 226 MIN DDveya MAK 226E MIN DD)ve (AKM 208 MIN DDveya AKM 208E MIN DDveya AKM 204 MIN DDveya AKM 204E MIN DDveya MAK 228 MIN DDveya MAK 228E MIN DDveya AKM 205 MIN DDveya AKM 205E MIN DD),Yok/None
30372,MAK 315,Mekanik Titreşimler,,Akif  Yavuz,MKBMKB,Pazartesi Perşembe ,1330/1729 0930/1229 ,A363 A363 ,120,72,Yok/None,IML, MAK, MAKM, MKN, (DNK 205 MIN DDveya DNK 205E MIN DDveya DNK 203 MIN DDveya DNK 203E MIN DDveya MEK 205 MIN DDveya MEK 205E MIN DDveya MEK 207 MIN DDveya MEK 207E MIN DDveya DNK 201 MIN DDveya DNK 201E MIN DDveya MAK 217 MIN DDveya MAK 217E MIN DD)ve (MAT 201 MIN DDveya MAT 201E MIN DDveya MAT 210 MIN DDveya MAT 210E MIN DDveya MAK 210 MIN DDveya MAK 210E MIN DD)ve (MAT 261 MIN DDveya MAT 261E MIN DDveya MAK 114 MIN DDveya MAK 114E MIN DD),Yok/None
